id,b1
3178,0.32068417803742405
3248,0.2156916233618091
24,
94,0.5036339377722532
164,0.4181638411403237
234,0.4917128494970169
304,0.583324357897706
374,0.343681959830403
444,0.5395108036045998
514,0.06709427341728624
584,0.20179311506091155
654,1.1833368274765026
724,0.5282399446834274
794,0.5821020561962975
864,
934,
1004,
1074,
1144,0.4041618177342699
1214,
1284,
1354,
1424,
1494,0.3725253965104923
1564,0.5213417355927379
1634,
1704,
1774,
1844,
1914,
1984,
2054,0.6492634606410371
2124,0.38869684324175957
2194,0.09534868190329665
2264,0.10463065991451555
2334,
2404,0.2390171769446772
2474,0.5902309430242015
2544,0.3650078671998321
2614,0.4948278929653637
2684,0.19402070188352433
2754,0.8254029024531396
2824,
2894,0.31156243514733817
2964,0.7914423862244094
3034,0.40563555802228735
3104,0.2770364769432796
3174,0.5704268304203435
3244,0.6950959195740709
20,
90,0.43088953204536573
160,0.6059030015616492
230,0.4462887693689631
300,0.4819971778618331
370,0.04960742337876361
440,0.06485189843410324
510,0.1930017792428684
580,0.5422471696670884
650,0.15432630786808882
720,0.3839763478821865
790,0.546840498625824
